System,Facility,CCN,State,State_full,County,City,Zip,Profit Status,Status,Lat,Long
"Ascension Health - Saint Louis, MO",Saint Joseph Hospital,150010,IN,Indiana,Howard County,Kokomo,46901,Non-profit,Future Prospects: 2020,40.5253,-86.15659
"Ascension Health - Saint Louis, MO",Saint Vincent Salem Hospital,151314,IN,Indiana,Washington County,Salem,47167,Non-profit,Future Prospects: 2020,38.61184,-86.09584
"Ascension Health - Saint Louis, MO",Saint Vincent Jennings Hospital,151303,IN,Indiana,Jennings County,North Vernon,47265,Non-profit,Future Prospects: 2020,39.01233,-85.62764
"Ascension Health - Saint Louis, MO",Saint Vincent Randolph Hospital,151301,IN,Indiana,Randolph County,Winchester,47394,Non-profit,Future Prospects: 2020,40.16902,-84.98724
"Ascension Health - Saint Louis, MO",Saint Vincent Dunn Hospital,151335,IN,Indiana,Lawrence County,Bedford,47421,Non-profit,Future Prospects: 2020,38.86267,-86.45106
"Ascension Health - Saint Louis, MO",Saint Mary's Warrick Hospital,151325,IN,Indiana,Warrick County,Boonville,47601,Non-profit,Future Prospects: 2020,38.05209,-87.2553
"Ascension Health - Saint Louis, MO",Saint Mary's Medical Center,150100,IN,Indiana,Vanderburgh County,Evansville,47714,Non-profit,Future Prospects: 2020,37.95755,-87.52111
"Ascension Health - Saint Louis, MO",Saint Vincent Clay Hospital,151309,IN,Indiana,Clay County,Brazil,47834,Non-profit,Future Prospects: 2020,39.52584,-87.12124
"Ascension Health - Saint Louis, MO",Saint Vincent Seton Specialty Hospital - Lafayette,152021,IN,Indiana,Tippecanoe County,Lafayette,47901,Non-profit,Future Prospects: 2020,40.41785,-86.88995
"Ascension Health - Saint Louis, MO",Saint Vincent Williamsport Hospital,151307,IN,Indiana,Warren County,Williamsport,47993,Non-profit,Future Prospects: 2020,40.31215,-87.4146
"Ascension Health - Saint Louis, MO",Saint John North Shores Hospital,blank,MI,Michigan,Macomb County,Harrison Township,48045,Non-profit,Future Prospects: 2020,42.59169,-82.83023
"Ascension Health - Saint Louis, MO",Saint John River District Hospital,230241,MI,Michigan,St. Clair County,East China Township,48054,Non-profit,Future Prospects: 2020,42.77074,-82.54496
"Ascension Health - Saint Louis, MO",Providence Hospital,230019,MI,Michigan,Oakland County,Southfield,48075,Non-profit,Future Prospects: 2020,42.46206,-83.23042
"Ascension Health - Saint Louis, MO","Saint John Macomb-Oakland Hospital, Macomb Center",230195,MI,Michigan,Macomb County,Warren,48093,Non-profit,Future Prospects: 2020,42.51418,-83.0148
"Ascension Health - Saint Louis, MO",Brighton Center for Recovery,230279,MI,Michigan,Livingston County,Brighton,48114,Non-profit,Future Prospects: 2020,42.57002,-83.74837
"Ascension Health - Saint Louis, MO",Saint John Hospital and Medical Center,230165,MI,Michigan,Wayne County,Detroit,48236,Non-profit,Future Prospects: 2020,42.42501,-82.89656
"Ascension Health - Saint Louis, MO",Genesys Regional Medical Center,230197,MI,Michigan,Genesee County,Grand Blanc,48439,Non-profit,Future Prospects: 2020,42.91681,-83.62912
"Ascension Health - Saint Louis, MO",Saint Mary's of Michigan - Medical Center,230077,MI,Michigan,Saginaw County,Saginaw,48601,Non-profit,Future Prospects: 2020,43.40419,-83.89371
"Ascension Health - Saint Louis, MO",Saint Mary's of Michigan - Standish Hospital,blank,MI,Michigan,Arenac County,Standish,48658,Non-profit,Future Prospects: 2020,43.98067,-83.93686
"Ascension Health - Saint Louis, MO",Saint Joseph Hospital,230100,MI,Michigan,Iosco County,Tawas City,48763,Non-profit,Future Prospects: 2020,44.25253,-83.61271
"Ascension Health - Saint Louis, MO",Borgess-Lee Memorial Hospital,231315,MI,Michigan,Cass County,Dowagiac,49047,Non-profit,Future Prospects: 2020,42.00404,-86.12198
"Ascension Health - Saint Louis, MO",Borgess Medical Center,230117,MI,Michigan,Kalamazoo County,Kalamazoo,49048,Non-profit,Future Prospects: 2020,42.27284,-85.49849
"Ascension Health - Saint Louis, MO",Borgess-Pipp Hospital,232034,MI,Michigan,Allegan County,Plainwell,49080,Non-profit,Future Prospects: 2020,42.46098,-85.57508
"Ascension Health - Saint Louis, MO",Columbia Saint Mary's Hospital Ozaukee,520027,WI,Wisconsin,Ozaukee County,Mequon,53097,Non-profit,Future Prospects: 2020,43.24581,-88.0067
"Ascension Health - Saint Louis, MO",Orthopaedic Hospital of Wisconsin,520194,WI,Wisconsin,Milwaukee County,Glendale,53110,Non-profit,Future Prospects: 2020,42.94672,-87.86398
"Ascension Health - Saint Louis, MO",Alexian Brothers Medical Center,140258,IL,Illinois,Cook County,Elk Grove Village,60007,Non-profit,Future Prospects: 2020,42.0076,-87.99298
"Ascension Health - Saint Louis, MO",DePaul Center,454032,TX,Texas,McLennan County,Waco,76701,Non-profit,Future Prospects: 2020,31.55202,-97.13858
"Ascension Health - Saint Louis, MO",Providence Health Center,450042,TX,Texas,McLennan County,Waco,76712,Non-profit,Future Prospects: 2020,31.52401,-97.25565
"Ascension Health - Saint Louis, MO",Seton Highland Lakes Hospital,451365,TX,Texas,Burnet County,Burnet,78611,Non-profit,Future Prospects: 2020,30.79177,-98.26016
"Ascension Health - Saint Louis, MO",Seton Medical Center Hays,670056,TX,Texas,Hays County,Kyle,78640,Non-profit,Future Prospects: 2020,29.99495,-97.82313
"Ascension Health - Saint Louis, MO",Seton Edgar B. Davis Hospital,451371,TX,Texas,Caldwell County,Luling,78648,Non-profit,Future Prospects: 2020,29.69106,-97.6345
"Ascension Health - Saint Louis, MO",Seton Medical Center Williamson,670041,TX,Texas,Williamson County,Round Rock,78665,Non-profit,Future Prospects: 2020,30.54489,-97.64379
"Ascension Health - Saint Louis, MO",University Medical Center at Brackenridge,450124,TX,Texas,Travis County,Austin,78701,Non-profit,Future Prospects: 2020,30.27049,-97.74235
"Ascension Health - Saint Louis, MO",Seton Medical Center Austin,450056,TX,Texas,Travis County,Austin,78705,Non-profit,Future Prospects: 2020,30.29437,-97.73355
"Ascension Health - Saint Louis, MO",Dell Children's Medical Center of Central Texas,453310,TX,Texas,Travis County,Austin,78723,Non-profit,Future Prospects: 2020,30.30427,-97.6857
"Ascension Health - Saint Louis, MO",Seton Shoal Creek Hospital,454029,TX,Texas,Travis County,Austin,78731,Non-profit,Future Prospects: 2020,30.34736,-97.76347
"Ascension Health - Saint Louis, MO",Seton Southwest Hospital,450865,TX,Texas,Travis County,Austin,78737,Non-profit,Future Prospects: 2020,30.18779,-97.95966
"Ascension Health - Saint Louis, MO",Seton Northwest Hospital,450867,TX,Texas,Travis County,Austin,78759,Non-profit,Future Prospects: 2020,30.40268,-97.75605
"Ascension Health - Saint Louis, MO",Holy Cross Hospital,31313,AZ,Arizona,Santa Cruz County,Nogales,85621,Non-profit,Future Prospects: 2020,31.42297,-111.03539
"Ascension Health - Saint Louis, MO",Carondelet Heart & Vascular Institute,30100,AZ,Arizona,Pima County,Tucson,85704,Non-profit,Future Prospects: 2020,32.33785,-110.98551
"Ascension Health - Saint Louis, MO",Saint Joseph's Hospital,30011,AZ,Arizona,Pima County,Tucson,85711,Non-profit,Future Prospects: 2020,32.21523,-110.87841
"Ascension Health - Saint Louis, MO",Saint Mary's Hospital,30010,AZ,Arizona,Pima County,Tucson,85745,Non-profit,Future Prospects: 2020,32.25879,-111.08472
"Ascension Health - Saint Louis, MO",Lourdes Medical Center,501337,WA,Washington,Franklin County,Pasco,99301,Non-profit,Future Prospects: 2020,46.38445,-118.94383
"Ascension Health - Saint Louis, MO",Lourdes Counseling Center,504008,WA,Washington,Benton County,Richland,99352,Non-profit,Future Prospects: 2020,46.25224,-119.28784
Austin Regional Clinic (ARC),ARC Buda,–,TX,Texas,Hays County,Buda,78610,For profit,2011-2016,30.07722,-97.83741
Austin Regional Clinic (ARC),ARC Cedar Park,–,TX,Texas,Williamson County,Cedar Park,78613,For profit,2011-2016,30.50895,-97.82463
Austin Regional Clinic (ARC),ARC Cedar Park Medical Plaza,–,TX,Texas,Williamson County,Cedar Park,78613,For profit,2011-2016,30.50395,-97.82963
Austin Regional Clinic (ARC),ARC Now Clinic,–,TX,Texas,Williamson County,Cedar Park,78613,For profit,2011-2016,30.49895,-97.82463
Austin Regional Clinic (ARC),ARC Dripping Springs,–,TX,Texas,Hays County,Dripping Springs,78620,For profit,2011-2016,30.21894,-98.12895
Austin Regional Clinic (ARC),ARC Hutto,–,TX,Texas,Williamson County,Hutto,78634,For profit,2011-2016,30.55906,-97.54472
Austin Regional Clinic (ARC),ARC Kyle Plum Creek,–,TX,Texas,Hays County,Kyle,78640,For profit,2011-2016,29.99495,-97.83313
Austin Regional Clinic (ARC),ARC Leander,–,TX,Texas,Williamson County,Leander,78641,For profit,2011-2016,30.56176,-97.91517
Austin Regional Clinic (ARC),ARC Manor,–,TX,Texas,Travis County,Manor,78653,For profit,2011-2016,30.33942,-97.52362
Austin Regional Clinic (ARC),ARC Kelly Lane,–,TX,Texas,Travis County,Pflugerville,78660,For profit,2011-2016,30.44304,-97.6005
Austin Regional Clinic (ARC),ARC Pflugerville,–,TX,Texas,Travis County,Pflugerville,78660,For profit,2011-2016,30.44304,-97.5905
Austin Regional Clinic (ARC),ARC Bee Cave,–,TX,Texas,Travis County,Bee Cave,78669,For profit,2011-2016,30.42263,-98.12241
Austin Regional Clinic (ARC),ARC Round Rock,–,TX,Texas,Williamson County,Round Rock,78681,For profit,2011-2016,30.53778013,-97.72725
Austin Regional Clinic (ARC),ARC Sendero Springs,–,TX,Texas,Williamson County,Round Rock,78681,For profit,2011-2016,30.52911987,-97.72725
Austin Regional Clinic (ARC),ARC South 1st,–,TX,Texas,Travis County,Austin,78704,For profit,2011-2016,30.24748013,-97.76787
Austin Regional Clinic (ARC),ARC South 1st Specialty,–,TX,Texas,Travis County,Austin,78704,For profit,2011-2016,30.23881987,-97.76787
Austin Regional Clinic (ARC),ARC Medical Park Tower Ob/Gyn,–,TX,Texas,Travis County,Austin,78705,For profit,2011-2016,30.29912528,-97.73700492
Austin Regional Clinic (ARC),ARC Medical Park Tower Orthopedics,–,TX,Texas,Travis County,Austin,78705,For profit,2011-2016,30.29730893,-97.74259509
Austin Regional Clinic (ARC),ARC Anderson Mill,–,TX,Texas,Travis County,Austin,78726,For profit,2011-2016,30.42949,-97.84707
Austin Regional Clinic (ARC),ARC Wilson Parke,–,TX,Texas,Travis County,Austin,78726,For profit,2011-2016,30.42949,-97.83707
Austin Regional Clinic (ARC),ARC Far West,–,TX,Texas,Travis County,Austin,78731,For profit,2011-2016,30.35169013,-97.77097
Austin Regional Clinic (ARC),ARC Far West Medical Tower,–,TX,Texas,Travis County,Austin,78731,For profit,2011-2016,30.34302987,-97.77097
Austin Regional Clinic (ARC),ARC South Og/Gyn,–,TX,Texas,Travis County,Austin,78745,For profit,2011-2016,30.20685,-97.79738
Austin Regional Clinic (ARC),ARC Southwest,–,TX,Texas,Travis County,Austin,78748,For profit,2011-2016,30.16538,-97.82343
Austin Regional Clinic (ARC),ARC Nurture North Ob/Gyn,–,TX,Texas,Travis County,Austin,78759,For profit,2011-2016,30.40768,-97.76105
Austin Regional Clinic (ARC),ARC Quarry Lake,–,TX,Texas,Travis County,Austin,78759,For profit,2011-2016,30.40268,-97.76605
Austin Regional Clinic (ARC),ARC Seton Northwest,–,TX,Texas,Travis County,Austin,78759,For profit,2011-2016,30.39768,-97.76105
Baptist Health Services Group,BMH - Collierville,440217,TN,Tennessee,Shelby County,Memphis,38017,Non-profit,2017,35.06749,-89.65066
Baptist Health Services Group,BMH - Tipton,440131,TN,Tennessee,Tipton County,Covington,38019,Non-profit,2017,35.56347,-89.63018
Baptist Health Services Group,Tennova Healthcare - Dyersburg,440072,TN,Tennessee,Dyer County,Dyersburg,38024,Non-profit,2017,36.03642,-89.38077
Baptist Health Services Group,Lauderdale Community Hospital,441314,TN,Tennessee,Lauderdale County,Ripley,38063,Non-profit,2017,35.75577,-89.63995
Baptist Health Services Group,BMH - Memphis,440048,TN,Tennessee,Shelby County,Memphis,38120,Non-profit,2017,35.12352,-89.85219
Baptist Health Services Group,Tennova Healthcare - Volunteer Martin,440061,TN,Tennessee,Weakley County,Martin,38237,Non-profit,2017,36.35951,-88.83433
Baptist Health Services Group,BMH - Union City,440130,TN,Tennessee,Obion County,Union City,38261,Non-profit,2017,36.43235,-89.11642
Baptist Health Services Group,Tennova Healthcare - Regional Jackson,–,TN,Tennessee,Madison County,Jackson,38305,Non-profit,2017,35.70199,-88.76793
Baptist Health Services Group,BMH Huntingdon,440016,TN,Tennessee,Carroll County,Huntingdon,38344,Non-profit,2017,35.97829,-88.42847
Baptist Health Services Group,Hardin Medical Center,440109,TN,Tennessee,Hardin County,Savannah,38372,Non-profit,2017,35.16952,-88.14368
Baptist Health Services Group,Merit Health Batesville,–,MS,Mississippi,Panola County,Batesville,38606,Non-profit,2017,34.30466,-89.95596
Baptist Health Services Group,Quitman County Hospital,251314,MS,Mississippi,Quitman County,Marks,38646,Non-profit,2017,34.28106,-90.29651
Baptist Health Services Group,BMH - Union County,250006,MS,Mississippi,Union County,New Albany,38652,Non-profit,2017,34.48346,-88.99686
Baptist Health Services Group,BMH - North Mississippi,250034,MS,Mississippi,Lafayette County,Oxford,38655,Non-profit,2017,34.33305,-89.47578
Baptist Health Services Group,Tippah County Hospital,250010,MS,Mississippi,Tippah County,Ripley,38663,Non-profit,2017,34.73986,-88.88963
Baptist Health Services Group,North Oak Regional Medical Center,250126,MS,Mississippi,Tate County,Senatobia,38668,Non-profit,2017,34.60128,-89.91621
Baptist Health Services Group,BMH - De Soto,250141,MS,Mississippi,DeSoto County,Southaven,38671,Non-profit,2017,34.96563,-89.99967
Baptist Health Services Group,Merit Health Gilmore Memorial,250025,MS,Mississippi,Monroe County,Amory,38821,Non-profit,2017,33.97596,-88.43758
Baptist Health Services Group,BMH - Booneville,250044,MS,Mississippi,Prentiss County,Booneville,38829,Non-profit,2017,34.65198,-88.53079
Baptist Health Services Group,Magnolia Regional Health Center,250009,MS,Mississippi,Alcorn County,Corinth,38834,Non-profit,2017,34.91545,-88.5635
Baptist Health Services Group,Trace Regional Hospital,250017,MS,Mississippi,Chickasaw County,Houston,38851,Non-profit,2017,33.90861,-88.96917
Baptist Health Services Group,UMMC Grenada,250168,MS,Mississippi,Grenada County,Grenada,38901,Non-profit,2017,33.7616,-89.80424
Baptist Health Services Group,BMH - Calhoun,251331,MS,Mississippi,Calhoun County,Calhoun City,38916,Non-profit,2017,33.81439,-89.35214
Baptist Health Services Group,Tallahatchie General Hospital,251304,MS,Mississippi,Tallahatchie County,Charleston,38921,Non-profit,2017,33.98139,-90.14856
Baptist Health Services Group,Yalobusha General Hospital,250061,MS,Mississippi,Yalobusha County,Water Valley,38965,Non-profit,2017,34.13565,-89.60007
Baptist Health Services Group,Noxubee General Hospital,251307,MS,Mississippi,Noxubee County,Macon,39341,Non-profit,2017,33.10052,-88.56202
Baptist Health Services Group,BMH - Golden Triangle,250100,MS,Mississippi,Lowndes County,Columbus,39705,Non-profit,2017,33.58606,-88.43573
Baptist Health Services Group,Pioneer Community Hospital of Aberdeen (Monroe Regional Hospital),251302,MS,Mississippi,Monroe County,Aberdeen,39730,Non-profit,2017,33.84179,-88.56421
Baptist Health Services Group,Pemiscot Memorial Hospital,260070,MO,Missouri,Pemiscot County,Hayti,63851,Non-profit,2017,36.25888,-89.71726
Baptist Health Services Group,Great River Medical Center,40069,AR,Arkansas,Mississippi County,Blytheville,72315,Non-profit,2017,35.90486,-89.90133
Baptist Health Services Group,Forrest City Medical Center,40019,AR,Arkansas,St. Francis County,Forrest City,72335,Non-profit,2017,34.9913,-90.75671
Baptist Health Services Group,SMC Regional Medical Center,41316,AR,Arkansas,Mississippi County,Osceola,72370,Non-profit,2017,35.68547,-90.10121
Baptist Health Services Group,Cross Ridge Community Hospital,41307,AR,Arkansas,Cross County,Wynne,72396,Non-profit,2017,35.23114,-90.82297
Baptist Health Services Group,NEA Baptist Memorial Hospital,40118,AR,Arkansas,Craighead County,Jonesboro,72401,Non-profit,2017,35.87894,-90.66057
Carroll County Memorial Hospital,Carroll County Memorial Hospital,261332,MO,Missouri,Carroll County,Carrollton,64633,Non-profit,2018,39.35829,-93.4837
Catholic Health Initiatives,Saint Clare's Hospital - Sussex,blank,NJ,New Jersey,Sussex County,Sussex,7461,Non-profit,Future Prospects: 2020,41.241,-74.60649
Catholic Health Initiatives,Saint Clare's Hospital - Denville,blank,NJ,New Jersey,Morris County,Denville,7834,Non-profit,Future Prospects: 2020,40.88845,-74.48651
Catholic Health Initiatives,The Berkshire Pavilion,blank,PA,Pennsylvania,Berks County,Reading,19601,Non-profit,Future Prospects: 2020,40.35261,-75.94104
Catholic Health Initiatives,Saint Joseph Medical Center,blank,PA,Pennsylvania,Berks County,Reading,19605,Non-profit,Future Prospects: 2020,40.39828,-75.94363
Catholic Health Initiatives,Saint Joseph Medical Center,blank,MD,Maryland,Baltimore County,Towson,21204,Non-profit,Future Prospects: 2020,39.40258,-76.6326
Catholic Health Initiatives,Memorial Hospital,blank,TN,Tennessee,Hamilton County,Chattanooga,37404,Non-profit,Future Prospects: 2020,35.02794,-85.27869
Catholic Health Initiatives,Flaget Memorial Hospital,blank,KY,Kentucky,Nelson County,Bardstown,40004,Non-profit,Future Prospects: 2020,37.80452,-85.46497
Catholic Health Initiatives,Jewish Hospital Shelbyville,blank,KY,Kentucky,Shelby County,Shelbyville,40065,Non-profit,Future Prospects: 2020,38.21651,-85.20683
Catholic Health Initiatives,Jewish Hospital,blank,KY,Kentucky,Jefferson County,Louisville,40202,Non-profit,Future Prospects: 2020,38.25711,-85.75362
Catholic Health Initiatives,Saint Joseph Berea,blank,KY,Kentucky,Madison County,Berea,40403,Non-profit,Future Prospects: 2020,37.56945,-84.2712
Catholic Health Initiatives,Saint Joseph Hospital,blank,KY,Kentucky,Fayette County,Lexington,40504,Non-profit,Future Prospects: 2020,38.04172,-84.54154
Catholic Health Initiatives,Good Samaritan Hospital - Cincinnati,blank,OH,Ohio,Hamilton County,Cincinnati,45220,Non-profit,Future Prospects: 2020,39.14857,-84.52073
Catholic Health Initiatives,Mercy Medical Center - Des Moines,blank,IA,Iowa,Polk County,Des Moines,50314,Non-profit,Future Prospects: 2020,41.60539,-93.63127
Catholic Health Initiatives,Albany Area Hospital & Medical Center,blank,MN,Minnesota,Stearns County,Albany,56307,Non-profit,Future Prospects: 2020,45.62799,-94.58871
Catholic Health Initiatives,Saint Gabriel's Hospital,blank,MN,Minnesota,Morrison County,Little Falls,56345,Non-profit,Future Prospects: 2020,45.98881,-94.37486
Catholic Health Initiatives,Saint Joseph's Area Health Services,blank,MN,Minnesota,Hubbard County,Park Rapids,56470,Non-profit,Future Prospects: 2020,47.02292,-95.09814
Catholic Health Initiatives,Saint Francis Medical Center,blank,MN,Minnesota,Wilkin County,Breckenridge,56520,Non-profit,Future Prospects: 2020,46.28542,-96.50478
Catholic Health Initiatives,CHI LakeWood Health Center,blank,MN,Minnesota,Lake of the Woods County,Baudette,56623,Non-profit,Future Prospects: 2020,48.60056,-94.56999
Catholic Health Initiatives,Gettysburg Medical Center,blank,SD,South Dakota,Potter County,Gettysburg,57442,Non-profit,Future Prospects: 2020,45.05455,-100.14458
Catholic Health Initiatives,Saint Mary's Healthcare Center,blank,SD,South Dakota,Hughes County,Pierre,57501,Non-profit,Future Prospects: 2020,44.52935,-100.30251
